?대쫫,湲몄씠,?욌㉧由?而ъ뒪???媛瑜대쭏,?덉씠?대뱶,?ㅽ??쇱떆?묒젏,,,
0002.jpg,0,0,0,0,0,0,1
0006.jpg,2,0,1,0,0,3,1
0008.jpg,3,1,0,0,0,0,1
0011.jpg,1,1,1,0,0,2,1
0058.jpg,1,1,0,0,0,0,1
0078.jpg,3,0,2,0,0,2,1
0164.jpg,3,2,0,0,0,0,1
0165.jpg,3,2,2,0,1,1,1
0166.jpg,2,2,2,0,0,2,1
0167.jpg,1,2,1,0,0,1,1
0168.jpg,3,1,1,0,0,3,1
0169.jpg,3,1,0,0,0,0,1
0170.jpg,3,2,3,0,0,0,1
0171.jpg,3,2,0,0,0,0,1
0172.jpg,3,2,0,0,0,0,1
0173.jpg,3,2,0,0,0,0,1
0174.jpg,3,2,3,0,0,0,1
0175.jpg,3,2,2,0,0,1,1
0176.jpg,3,2,2,0,0,1,1
0177.jpg,1,1,1,0,1,1,1
0178.jpg,2,2,2,0,0,1,1
0179.jpg,3,1,0,0,0,0,1
0181.jpg,3,1,2,0,0,0,1
0182.jpg,3,0,2,1,1,0,1
0183.jpg,3,1,2,0,0,2,1
0185.jpg,3,0,0,0,0,0,1
0186.jpg,3,0,2,0,0,2,1
0187.jpg,2,1,1,0,0,1,1
0188.jpg,2,0,1,1,1,1,1
0190.jpg,3,1,2,0,0,1,1
0191.jpg,1,1,1,0,0,1,1
0192.jpg,1,1,1,0,0,1,1
0194.jpg,1,0,1,0,0,2,1
0195.jpg,3,2,3,0,0,0,1
0196.jpg,3,0,2,0,0,1,1
0197.jpg,3,0,2,1,0,3,1
0198.jpg,3,1,2,0,0,0,1
0199.jpg,3,0,0,1,0,0,1
0201.jpg,3,1,2,0,0,1,1
0202.jpg,3,1,2,0,0,1,1
0203.jpg,3,2,0,0,0,0,1
0204.jpg,1,2,1,0,0,1,1
0205.jpg,1,1,1,0,0,1,1
0206.jpg,3,1,1,0,0,0,1
0207.jpg,2,1,0,0,0,0,1
0208.jpg,3,2,2,0,0,1,1
0209.jpg,3,2,2,0,0,1,1
0210.jpg,3,1,0,0,0,0,1
0211.jpg,2,1,0,0,0,0,1
0212.jpg,1,1,0,0,0,0,1
0213.jpg,3,0,2,0,0,1,1
0214.jpg,3,1,0,0,0,0,1
0215.jpg,3,0,2,0,0,3,1
0216.jpg,3,1,0,0,0,0,1
0217.jpg,3,1,0,1,0,0,1
0218.jpg,3,1,2,0,0,2,1
0219.jpg,3,0,3,1,0,0,1
0220.jpg,3,1,2,0,0,2,1
0221.jpg,3,0,3,1,0,0,1
0222.jpg,3,0,3,0,0,0,1
0223.jpg,3,1,2,0,0,1,1
0224.jpg,3,1,2,0,0,1,1
0225.jpg,1,1,1,0,0,2,1
0227.jpg,3,0,2,1,1,0,1
0228.jpg,3,0,2,1,1,1,1
0229.jpg,3,0,0,1,0,0,1
0230.jpg,1,1,0,0,0,0,1
0231.jpg,3,2,0,0,0,0,1
0232.jpg,0,1,0,0,1,0,1
0234.jpg,3,0,0,1,0,0,1
0235.jpg,3,1,2,0,0,2,1
0236.jpg,0,2,0,0,0,0,1
0238.jpg,2,1,1,0,0,3,1
0239.jpg,2,1,1,0,0,3,1
0240.jpg,1,2,1,0,0,0,1
0241.jpg,1,2,0,0,0,0,1
0242.jpg,3,2,2,0,0,1,1
0243.jpg,1,2,0,0,0,0,1
0244.jpg,2,2,0,0,0,0,1
0246.jpg,2,1,1,0,0,3,1
0842.jpg,3,0,0,1,1,0,1
